,Name,Creator,Repeats,Grade,Type,Stars1,Stars2
25,LUKE HARDER,mattw,6 repeats,7A (User grade 7A),Feet follow hands,eee,
26,MURPHY'S LAW,mattw,16 repeats,7A+ (User grade 7B),Feet follow hands,eee,
27,USE THE FORCE LUKE,mattw,86 repeats,7B (User grade 7B),Feet follow hands,eee,
28,SNOW HOPE,mattw,47 repeats,7B (User grade 7B),Feet follow hands,KkKkhkk,eee
29,PULL ON,mattw,291 repeats,6B+ (User grade 6B+),Feet follow hands,,
30,WANDER,Chad Jensen,323 repeats,6C+ (User grade 6C+),Feet follow hands,,
31,TRIBBLE,mattw,47 repeats,6C (User grade 6C),Feet follow hands,,
32,KLINGON,Chad Jensen,1604 repeats,6B+ (User grade 6B+),Feet follow hands,,
33,QUARK,Chad Jensen,281 repeats,6B+ (User grade 6B+),Feet follow hands,,
34,JUST CALL ME AL,Chad Jensen,84 repeats,6C (User grade 6C),Feet follow hands,,
35,MAN WALKS DOWN THE STREET,mattw,1099 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
36,STREET IN A STRANGE TOWN,mattw,169 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
37,I FELT YOUR PRESENTS,mattw,47 repeats,7B (User grade 7B),Feet follow hands,eee,
38,WITH THE BLAST SHIELD DOW,mattw,37 repeats,7A (User grade 7A),Feet follow hands,eee,
39,ALA GAIT OR?,mattw,10523 repeats,6B+ (User grade 6B+),Feet follow hands,,
40,FIRST TRY RANKL,Chad Jensen,43 repeats,6C (User grade 6C),Feet follow hands,,
41,NUT,Chad Jensen,399 repeats,6B+ (User grade 6B+),Feet follow hands,,
42,TOAD HALL,Chad Jensen,27 repeats,6C (User grade 6C),Feet follow hands,,
43,BEEFCAKE,Kyle Knapp,137 repeats,6C+ (User grade 6C+),Feet follow hands,,
44,FROMAGE A PATE MOLLE,Kyle Knapp,357 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
45,GUNTER,Chad Jensen,70 repeats,7A (User grade 7A),Feet follow hands,,
46,WARMING UP,Chad Jensen,1772 repeats,6B+ (User grade 6B+),Feet follow hands,,
47,SINGLE DURA,Chad Jensen,386 repeats,7B (User grade 7B),Feet follow hands,,
48,CHAMPINZEE,Chad Jensen,78 repeats,6C (User grade 6C),Feet follow hands,,
49,MRN BRD TRNING,Chad Jensen,174 repeats,7B (User grade 7B),Feet follow hands,eee,
50,MOON MAN,Fox,201 repeats,6C+ (User grade 6C+),Feet follow hands,,
51,BROADBEAN,Fox,63 repeats,6C (User grade 6C),Feet follow hands,eee,
52,LIAM GREASIN,Kyle Knapp,46 repeats,7A (User grade 7A),Feet follow hands,,
53,HAN DUO,Kyle Knapp,202 repeats,7B+ (User grade 7B+),Feet follow hands,,
54,"TODD, DARK AND HANDSOME",Chad Jensen,28 repeats,7C (User grade 7C),Feet follow hands,eee,
55,CAKEWALK,Kyle Knapp,20424 repeats,6B+ (User grade 6B+),Feet follow hands,,
56,COSMIC MONSTERS,Kyle Knapp,8416 repeats,6B+ (User grade 6B+),Feet follow hands,,
57,E-Z CHEESE,Kyle Knapp,7957 repeats,6B+ (User grade 6B+),Feet follow hands,,
58,FLASH GORDON,Kyle Knapp,19892 repeats,6B+ (User grade 6B+),Feet follow hands,,
59,FINGER LICKIN EASY,Kyle Knapp,936 repeats,6B+ (User grade 6B+),Feet follow hands,,
60,GOLLUM,Kyle Knapp,121 repeats,6B+ (User grade 6B+),Feet follow hands,,
61,LITTLE BUDDHA,Kyle Knapp,647 repeats,6C (User grade 6C),Feet follow hands,,
62,BUMPER,Kyle Knapp,324 repeats,6B+ (User grade 6B+),Feet follow hands,,
63,SNAGGLEPUSS,Kyle Knapp,123 repeats,6B+ (User grade 6B+),Feet follow hands,,
64,TWISTER,Kyle Knapp,179 repeats,6B+ (User grade 6B+),Feet follow hands,,
65,SHAKEN NOT STIRRED,Kyle Knapp,21 repeats,6C (User grade 6C),Feet follow hands,KkKkhkk,eee
66,SALAD DAYS,Kyle Knapp,229 repeats,7A (User grade 7A),Feet follow hands,,
67,THE LADDER,Kyle Knapp,846 repeats,6B+ (User grade 6B+),Feet follow hands,,
68,GRAVITY'S RAINBOW,Kyle Knapp,471 repeats,6B+ (User grade 6B+),Feet follow hands,KKKKKk,eee
69,CRANKSHAFT,Kyle Knapp,78 repeats,6C (User grade 6C),Feet follow hands,,
70,MARK AND LARD,Ben Moon,323 repeats,6C (User grade 6C),Feet follow hands,,
71,HARD MARK AND LARD,Ben Moon,3141 repeats,7B (User grade 7B),Feet follow hands,KKKKNY,eee
72,BLOW,Ben Moon,281 repeats,7C (User grade 7C),Feet follow hands,KKKKKk,
73,MARK1,markwynneuk,38 repeats,6B+ (User grade 6B+),Feet follow hands,,
74,USE THE FORCE LUKE VAR,Ben Moon,159 repeats,7A+ (User grade 7A+),Feet follow hands,eee,
75,E1,emanuelegex,6 repeats,6C,Feet follow hands,KkKkhkk,
76,DYNOSOAR,Kyle Knapp,168 repeats,6B+ (User grade 6B+),Feet follow hands,,
77,FROMAGE A PATE DURE,Kyle Knapp,242 repeats,6C+ (User grade 6C+),Feet follow hands,eee,
78,MOJO BERRIES,Jonny Summers,19 repeats,6C (User grade 6C),Feet follow hands,,
79,HARD PULL ON VAR,Ben Moon,5805 repeats,7A+ (User grade 7A+),Feet follow hands,KKKKNY,
80,CAT'S CRADLE,Kyle Knapp,235 repeats,6C+ (User grade 6C+),Feet follow hands,,
81,COPYCAT,Kyle Knapp,143 repeats,6B+ (User grade 6B+),Feet follow hands,,
82,ELANOMOUS,Andrew Smythe,4828 repeats,6C (User grade 6C),Feet follow hands,,
83,LORD REIDUN,Chad Jensen,4444 repeats,6B+ (User grade 6B+),Feet follow hands,,
84,NECTAR OF THE TODDS,Chad Jensen,317 repeats,7C+ (User grade 7C+),Feet follow hands,KkKkKkk,
85,CLONE BONE,Chad Jensen,471 repeats,6B+ (User grade 6B+),Feet follow hands,,
86,ALL SYSTEMS GO!,Chad Jensen,42 repeats,7A (User grade 7B),Feet follow hands,KkKkKkk,
87,WAR OF THE TODDS,Chad Jensen,3 repeats,7B+,Feet follow hands,KkKkhkk,eee
88,NEW SCHOOL TESS,Kyle Knapp,150 repeats,6C+ (User grade 6C+),Feet follow hands,,
89,FIERCE INVALIDS HOME FROM HOT CLIMATES,Kyle Knapp,94 repeats,6C (User grade 6C),Feet follow hands,KKKKNY,eee
90,MR. BRIGHTSIDE,Jonny Summers,44 repeats,6B+ (User grade 6B+),Feet follow hands,,
91,MR. DARKSIDE,Jonny Summers,4repeats,7A (User grade 7A),Feet follow hands,,
92,FRESH PRINCE OF BELLAIR,Luke Murphy,15 repeats,7B (User grade 7B),Feet follow hands,eee,
93,OLIVER TWIST,Luke Murphy,7 repeats,7B,Feet follow hands,eee,
94,OAP WARM UP.,Brett Duffield,294 repeats,6B+ (User grade 6B+),Feet follow hands,,
95,TOOTLE,Brett Duffield,418 repeats,6B+ (User grade 6B+),Feet follow hands,,
96,HIGH WAISTBAND REQ.,Brett Duffield,30 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
97,HEEL HOLE,Christopher Andersson,Be the first to repeat this problem,7A,Feet follow hands,,
98,KING LINE,Christopher Andersson,6 repeats,7A+ (User grade 7A+),Feet follow hands,,
99,POCKETY,Christopher Andersson,1 climber has repeated this problem,6C+,Feet follow hands,,
100,POP CROSS,Christopher Andersson,3 repeats,7A (User grade 7A),Feet follow hands,,
101,THE STRETCH,Christopher Andersson,7 repeats,7A,Feet follow hands,eee,
102,SUPERSTAR FINISH,Ally Patrick,2090 repeats,7B (User grade 7B),Feet follow hands,KkKkKkk,eee
103,LAT,Luke Murphy,1 climber has repeated this problem,TAt+,Feet follow hands,,
104,RIGHT FOOT,Luke Murphy,5 repeats,TAt+,Feet follow hands,eee,
105,UP AND OVER,Alex Smurthwaite,1443 repeats,6B+ (User grade 6B+),Feet follow hands,,
106,CONTUSION,Joe Watters,174 repeats,6C (User grade 6C),Feet follow hands,,
107,HEMATOMA,Joe Watters,3657 repeats,6C+ (User grade 6C+),Feet follow hands,KKKKNY,
108,CHUPACAPROJ,alvaro rangel,1 climber has repeated this problem,7A+ (User grade 7A+),Feet follow hands,,
109,BURNING SENDERS,alvaro rangel,1884 repeats,6B+ (User grade 6B+),Feet follow hands,,
110,GASTON WARMUP,RuJtrials,16 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
111,JUMP,alvaro rangel,2 repeats,6B+,Feet follow hands,,
112,FINGER WARMUP,Rutrials,29 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
113,SOFTY,keith dav,279 repeats,6B+ (User grade 6B+),Feet follow hands,,
114,SPRINGER,Roger,18 repeats,7A (User grade 7A),Feet follow hands,,
115,PLASTIC CLASSIC,Andres Arriaga,83 repeats,6B+ (User grade 6B+),Feet follow hands,,
116,I WANT MILK MOO,Will Crowther,7 repeats,7A+ (User grade 7A+),Feet follow hands,eee,
117,THE MAGICIAN,Alex Smurthwaite,28 repeats,6B+ (User grade 6B+),Feet follow hands,,
118,LUCK IS THE KEY,keith dav,Be the first to repeat this problem,7B,Feet follow hands,,
119,LADYBUG,SmoothMC.,4324 repeats,7A+ (User grade 7A+),Feet follow hands,,
120,LADYBUG'S HEEL,SmoothMC.,77 repeats,7A (User grade 7A),Feet follow hands,,
121,AN EASY PROBLEM,Brett Duffield,34796 repeats,6B+ (User grade 6B+),Feet follow hands,,
122,SNAKECHARMER,Kyle Knapp,365 repeats,6C+ (User grade 6C+),Feet follow hands,,
123,LONG HAND,cristian,29 repeats,6B+ (User grade 6B+),Feet follow hands,,
124,u1,keith dav,9 repeats,6B+ (User grade 6B+),Feet follow hands,,
125,BB1,Kyle Knapp,13 repeats,7B+ (User grade 7B+),Feet follow hands,,
126,ABSCESS,Joe Watters,142 repeats,6B+ (User grade 6B+),Feet follow hands,,
127,VAGINITIS,Joe Watters,14 repeats,6C+ (User grade 6C+),Feet follow hands,,
128,CAPTAIN FITZROY,Ben Moon,2481 repeats,7B (User grade 7B),Feet follow hands,KkKkKkk,
129,I WANT MILK MOO VAR,Ben Moon,787 repeats,7B (User grade 7B),Feet follow hands,KkKkKkk,eee
130,DOVELL,lucas Dourdourekas,1 climber has repeated this problem,TAt+,Feet follow hands,,
131,LORRI,lucas Dourdourekas,36 repeats,7B (User grade 7B),Feet follow hands,,
132,SNAKECHARMER VAR.,Kyle Knapp,91 repeats,6C+ (User grade 6C+),Feet follow hands,KkKkhkk,eee
133,CELESTIAL,Kyle Knapp,62 repeats,6C (User grade 6C),Feet follow hands,,
134,BB2,keith dav,Be the first to repeat this problem,7B (User grade 7B),Feet follow hands,,
135,RP1,keith dav,14 repeats,6B+ (User grade 6B+),Feet follow hands,,
136,x,press,8 repeats,6B+,Feet follow hands,,
137,ACG1,keith dav,22 repeats,6C (User grade 6C),Feet follow hands,,
138,MELET,lucas Dourdourekas,1143 repeats,7A+ (User grade 7A+),Feet follow hands,,
139,MELET VAR,lucas Dourdourekas,97 repeats,7B (User grade 7B),Feet follow hands,,
140,BRIAN PROJECT T,Rutrials,7 repeats,6C (User grade 6C),Feet follow hands,eee,
141,BRIANS PROBLEM #2,RuJtrials,76 repeats,6C (User grade 6C),Feet follow hands,eee,
142,NEW YELLER,Brian Taylor,Be the first to repeat this problem,7B+,Feet follow hands,,
143,ASG3,bkkim,562 repeats,7A (User grade 7A),Feet follow hands,,
144,DEAD,press,9 repeats,6B+ (User grade 6B+),Feet follow hands,,
145,WALKING ON THE MOON,Kyle Knapp,116 repeats,6C (User grade 6C),Feet follow hands,KkKkhkk,eee
146,SCHWARTZ SCHNEIDER,Brian Taylor,1986 repeats,7A+ (User grade 7A+),Feet follow hands,KkKkKkk,eee
147,SALT,Christopher Andersson,7 repeats,6B+ (User grade 6B+),Feet follow hands,,
148,ACG4,bkkim,6722 repeats,6C (User grade 6C),Feet follow hands,,
149,MARK2,markwynneuk,16633 repeats,6B+ (User grade 6B+),Feet follow hands,,
150,SALTEDBLOCKS 1,Martin Blizi,2560 repeats,6B+ (User grade 6B+),Feet follow hands,,
151,SALTEDBLOCKS 2,Martin Blizi,3497 repeats,6C (User grade 6C),Feet follow hands,,
152,OUCH,Eric Nguyen,1423 repeats,6B+ (User grade 6B+),Feet follow hands,,
153,SCALA,Alessio Moretta,98 repeats,6B+ (User grade 6B+),Feet follow hands,,
154,TIE DYE,David Reis,Be the first to repeat this problem,6B+,Feet follow hands,,
155,ECLIPSE,Kyle Knapp,35 repeats,7A (User grade 7A),Feet follow hands,,
156,GALACTIC TACTICS,Kyle Knapp,474 repeats,6C (User grade 6C),Feet follow hands,,
157,GARDEN OF EDEN,David Reis,Be the first to repeat this problem,6C+,Feet follow hands,,
158,ACGS5,bkkim,27 repeats,6B+ (User grade 6B+),Feet follow hands,,
159,ACG6,bkkim,58 repeats,7A (User grade 7A),Feet follow hands,,
160,WATCH YOUR HEAD,Maarten Blomme,43 repeats,6B (User grade 6B),Feet follow hands,,
161,LESS IS MORE...,Fox,619 repeats,6B+ (User grade 6B+),Feet follow hands,,
162,DIRTY CASE MUKSI,Emiliyan Kolevski,9 repeats,TAt+,Feet follow hands,eee,
163,ACG7,bkkim,18 repeats,6C (User grade 6C),Feet follow hands,,
164,ACG8,bkkim,373 repeats,6B+ (User grade 6B+),Feet follow hands,,
165,BOOGIEWOOGIE,Lucas Uchida,1086 repeats,7B+ (User grade 7B+),Feet follow hands,KKKKKk,
166,CROSS THROUGH,Rutrials,2746 repeats,7A (User grade 7A),Feet follow hands,KKKKY,
167,WARMUP FOOT CUT,RuJtrials,94 repeats,6B (User grade 6B),Feet follow hands,eee,
168,WARMUP 4,RuJtrials,73 repeats,6B+ (User grade 6B+),Feet follow hands,,
169,POGO POWER,RuJtrials,364 repeats,6C (User grade 6C),Feet follow hands,,
170,PULL THROUGH,RuJtrials,12 repeats,6B+ (User grade 6B+),Feet follow hands,,
171,BUMP IT,RuJtrials,19 repeats,6C (User grade 6C),Feet follow hands,,
172,ARIGGARI,KoalaClimbing,3469 repeats,6C (User grade 6C),Feet follow hands,,
173,AP1,Andrea Palmet,18 repeats,7A (User grade 7A),Feet follow hands,,
174,L2,darkside,9 repeats,6B+ (User grade 6B+),Feet follow hands,,
175,SUPERNOVA,Kyle Knapp,2490 repeats,7A (User grade 7A),Feet follow hands,KkKkKkk,
176,LIFT OFF,Kyle Knapp,67 repeats,6B+ (User grade 6B+),Feet follow hands,,
177,MASTERFUL GAP,SmoothMC.,2473 repeats,7A+ (User grade 7A+),Feet follow hands,KkKkKkk,
178,HANGOVER,viadislav angelov,2 repeats,6C+,Feet follow hands,KkKkhkk,eee
179,ACG12,bkkim,11881 repeats,6B+ (User grade 6B+),Feet follow hands,,
180,DEJA ENTENDU,eder peraza,2353 repeats,7A+ (User grade 7A+),Feet follow hands,KKKKNY,
181,HEAVY RAIN,KoalaClimbing,2000 repeats,7A (User grade 7A),Feet follow hands,KKKKNY,
182,PHYSICAL THERAPY,Bhetrick,15 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
183,SHORTROUND VAR,fli,30 repeats,6C+ (User grade 6C+),Feet follow hands,KkKkhkk,eee
184,VERITGO,Joe Watters,10 repeats,6C (User grade 6C),Feet follow hands,,
185,NOT TOO BAD,Duncan Brown,463 repeats,6B+ (User grade 6B+),Feet follow hands,,
186,GOOD TIMES,Duncan Brown,279 repeats,6B+ (User grade 6B+),Feet follow hands,,
187,ACG13,bkkim,96 repeats,6B+ (User grade 6B+),Feet follow hands,,
188,ACG14,bkkim,112 repeats,6C+ (User grade 6C+),Feet follow hands,,
189,LOMMEL TOM,Crimpmaster,8 repeats,7A (User grade 6C+),Feet follow hands,,
190,DR. NO,Lucas Uchida,Be the first to repeat this problem,6C,Feet follow hands,,
191,SALAD NIGHTS,SmoothMC.,1159 repeats,7A+ (User grade 7A+),Feet follow hands,KKKKNY,
192,LINK TO THE PAST,SmoothMC.,7 repeats,7A (User grade 7A),Feet follow hands,,
193,ACG15,bkkim,197 repeats,6C+ (User grade 6C+),Feet follow hands,,
194,ACG16,bkkim,649 repeats,6B+ (User grade 6B+),Feet follow hands,,
195,LIGHTER FEATHER,Donggyu Lee,113 repeats,7C (User grade 7C),Feet follow hands,,
196,KOR V6,KoalaClimbing,119 repeats,7B+ (User grade 7B+),Feet follow hands,,
197,SUBMARINE,Instak0928,18 repeats,7B+ (User grade 7B+),Feet follow hands,,
198,7-2=5,Donggyu Lee,452 repeats,7B (User grade 7B),Feet follow hands,,
199,BLUEFISH,Bryant Noble,2462 repeats,6B+ (User grade 6B+),Feet follow hands,,
200,ACG17,bkkim,17 repeats,6C+ (User grade 6C+),Feet follow hands,,
201,LEVZEA POWER,Emiliyan Kolevski,15 repeats,7C (User grade 7C),Feet follow hands,,
202,PLEVEN STYLE DG,Emiliyan Kolevski,576 repeats,7C+ (User grade 7C+),Feet follow hands,KkKkKkk,
203,BOWLING ALONE,Lucas Uchida,9 repeats,6C (User grade 6C),Feet follow hands,,
204,EXTREME,Lucas Uchida,7 repeats,6B+ (User grade 6B+),Feet follow hands,,
205,DAMN DANIEL,Lucas Uchida,25 repeats,6C+ (User grade 6C+),Feet follow hands,,
206,WHITE VANS,Lucas Uchida,3 repeats,6C+ (User grade 6C+),Feet follow hands,,
207,AP2,Andrea Palmet,14 repeats,6C+ (User grade 6C+),Feet follow hands,,
208,KLINGON EASY,Ben Moon,23388 repeats,6B+ (User grade 6B+),Feet follow hands,,
209,POPOPO,Donggyu Lee,21 repeats,7C (User grade 7C),Feet follow hands,,
210,NO SUN NO HOPE,Heky Lee,66 repeats,7A+ (User grade 7A+),Feet follow hands,KkKkhkk,eee
211,POGO,luke hutcheson,5824 repeats,7A (User grade 7A),Feet follow hands,,
212,TWIST,luke hutcheson,39 repeats,6B (User grade 6B),Feet follow hands,,
213,wow,redflavor,1 climber has repeated this problem,TAt+,Feet follow hands,,
214,HONEY MUSTARD,redflavor,723 repeats,7C (User grade 7C),Feet follow hands,KkKkKkk,
215,BLACK CAT'S,redflavor,177 repeats,7C+ (User grade 7C+),Feet follow hands,KkKkKkk,
216,PLEVEN DAGE,emo_muxi,1 climber has repeated this problem,7B+,Feet follow hands,,
217,PLEVEN DA SI! EBE,emo_muxi,5 repeats,7C+ (User grade 7C+),Feet follow hands,eee,
218,REDFISH,Bryant Noble,38 repeats,6B+ (User grade 6B+),Feet follow hands,,
219,ACG19,bkkim,57 repeats,6C (User grade 6C),Feet follow hands,,
220,ACG20,bkkim,29 repeats,6C (User grade 6C),Feet follow hands,,
221,DAY O,Lucas Uchida,7 repeats,6C,Feet follow hands,,
222,FOIL,Lucas Uchida,23 repeats,6B+ (User grade 6B+),Feet follow hands,,
223,CAUGHT,Lucas Uchida,6 repeats,7C (User grade 7C),Feet follow hands,,
224,MY NAME HOJUN,redflavor,8 repeats,TAt+,Feet follow hands,KkKkhkk,eee
225,NOT BEN MOON,Cole Bradburn,4repeats,7A,Feet follow hands,KKKKNY,eee
226,COME ON BABY,redflavor,12 repeats,6C+ (User grade 6C+),Feet follow hands,eee,
227,PRODUCE 101 AIOAI,redflavor,32 repeats,7B (User grade 7B),Feet follow hands,eee,
228,GIRLS DAY MINAH,redflavor,5 repeats,TAt+,Feet follow hands,KkKkhkk,eee
229,FT1,Francesco Tocchet,6 repeats,7A,Feet follow hands,,
230,1,Hugo Hoyer,1363 repeats,6B+ (User grade 6B+),Feet follow hands,,
231,2,Hugo Hoyer,4550 repeats,6B+ (User grade 6B+),Feet follow hands,,
232,LAY BACK,Hugo Hoyer,19 repeats,6B+ (User grade 6B+),Feet follow hands,,
233,LANKY MANKY,Will Crowther,6 repeats,6B+,Feet follow hands,eee,
234,BACK THREE-SOME: 3EA HAND,Will Crowther,3465 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
235,QUIET TENACITY,Brian Taylor,4repeats,7B+,Feet follow hands,eee,
236,FT3,Francesco Tocchet,111 repeats,7B (User grade 7B),Feet follow hands,,
237,FT2,Francesco Tocchet,68 repeats,7A (User grade 7A),Feet follow hands,,
238,12 MONKEYS,Kyle Knapp,220 repeats,6B+ (User grade 6B+),Feet follow hands,,
239,PE. TRAINING,Kyle Knapp,19 repeats,6C (User grade 6C),Feet follow hands,,
240,TESS WIDE,Ben Moon,9481 repeats,6C (User grade 6C),Feet follow hands,,
241,GYMRAT DOWNGRADE READY,Kyle Knapp,12 repeats,6c,Feet follow hands,KKKKK,eee
242,LANKY BASTARD,Kyle Knapp,24 repeats,6C (User grade 6C),Feet follow hands,,
243,SLOWLY,redflavor,138 repeats,6B (User grade 6B),Feet follow hands,,
244,JOO GYUL KYUNG 10!,redflavor,34 repeats,7B (User grade 7B),Feet follow hands,eee,
245,THE FLIPPER FRENZY WARM U,Brett Duffield,83 repeats,6B+ (User grade 6B+),Feet follow hands,eee,
246,KIM SE JEONG IOI!,redflavor,1186 repeats,7A (User grade 7A),Feet follow hands,KKKKY,
247,ACG21,bkkim,105 repeats,7B (User grade 7B),Feet follow hands,,
248,ACG22,bkkim,895 repeats,6C (User grade 6C),Feet follow hands,,
249,ITS IN THE BONE,jamie batey,584 repeats,6B+ (User grade 6B+),Feet follow hands,,
250,CHOI YOOJUNG IO!,redflavor,2 repeats,7B (User grade 7B),Feet follow hands,eee,
251,JEONG CHAEYEON IO!,redflavor,11 repeats,7B (User grade 7B),Feet follow hands,eee,
252,JEON SOMI IO!,redflavor,1 climber has repeated this problem,7A+ (User grade 7A+),Feet follow hands,,
253,L3,darkside,7 repeats,6B+ (User grade 6B+),Feet follow hands,,
254,L4,darkside,14 repeats,6B+ (User grade 6B+),Feet follow hands,,
255,SCHLDR,Kristian Loksa,4repeats,7A+ (User grade 7A+),Feet follow hands,,
256,HOT TODDY,Will Crowther,3 repeats,6c,Feet follow hands,eee,
257,KIMBAB,SpeedKing Su,7 repeats,6B+,Feet follow hands,eee,
258,RAW BUTTER,Will Crowther,217 repeats,7A+ (User grade 7A+),Feet follow hands,,
259,THE OWL,Rocco Micheletto,155 repeats,7B+ (User grade 7B+),Feet follow hands,,
260,FEEL THE SLOPER,Rocco Micheletto,968 repeats,7B+ (User grade 7B+),Feet follow hands,,
261,1,fli,2 repeats,6C+ (User grade 6C+),Feet follow hands,,
262,2,fli,2 repeats,7A+ (User grade 7A+),Feet follow hands,,
263,BOYA,Yohei Ukai,3 repeats,6B+ (User grade 6B+),Feet follow hands,,
264,EZ,Mumia,3258 repeats,6B+ (User grade 6B+),Feet follow hands,,
265,EZ2,Mumia,144 repeats,6B+ (User grade 6B+),Feet follow hands,,
266,BIRDS OF A FEATHER,Kyle Knapp,1418 repeats,7A (User grade 7A),Feet follow hands,KKKKNY,eee
267,TASTY OUTLIER,Bhetrick,6 repeats,TAt+,Feet follow hands,eee,
268,AN CAP CIRCUIT 1,andybfreeman,3 repeats,6B+ (User grade 6B+),Feet follow hands,,
269,PIS,Dan Stephenson,14 repeats,6C (User grade 6C),Feet follow hands,,
270,SERAPHIM,Kyle Knapp,18 repeats,6C (User grade 6C),Feet follow hands,,
271,SILLY WABBIT,Kyle Knapp,12 repeats,6C (User grade 6C),Feet follow hands,,
272,KIM SOHYE 101,redflavor,9 repeats,7B (User grade 7B),Feet follow hands,,
273,4 CRIMPS LOVERS,Rocco Micheletto,46 repeats,7C (User grade 7C),Feet follow hands,,
274,AN CAP V2,andybfreeman,4repeats,6B+ (User grade 6B+),Feet follow hands,,
275,KIM CHUNGHA IOI,redflavor,4repeats,7A+ (User grade 7A+),Feet follow hands,KkKkhkk,eee
276,LIM NAYOUNG IO!,redflavor,444 repeats,7B (User grade 7B),Feet follow hands,eee,
277,YU YEONJUNG IO!,redflavor,4repeats,7A+ (User grade 7A+),Feet follow hands,eee,
278,KANG MINA,redflavor,78 repeats,7A (User grade 7A),Feet follow hands,,
279,KANG MINA IOI,redflavor,16 repeats,7A (User grade 7A),Feet follow hands,KkKkhkk,eee
280,KIM DOYEON,redflavor,190 repeats,7A (User grade 7A),Feet follow hands,,
281,KIM DOYEON IOI,redflavor,859 repeats,7A (User grade 7A),Feet follow hands,eee,
282,L5,darkside,7 repeats,6B+ (User grade 6B),Feet follow hands,,
283,OFF SETH LBS,Jeff Richards,11 repeats,6C (User grade 6C),Feet follow hands,,
284,PULP FICTION,Yohei Ukai,2184 repeats,7A (User grade 7A),Feet follow hands,,
285,AIR FORCE,redflavor,6024 repeats,7A+ (User grade 7A+),Feet follow hands,,
286,YEAH A!,redflavor,14 repeats,7B (User grade 7B),Feet follow hands,,
287,4:20,Ivaylo Angelov,472 repeats,6B+ (User grade 6B+),Feet follow hands,,
288,MATCH GAME,Andrew Smythe,4repeats,6B+ (User grade 6B+),Feet follow hands,,
289,THAT'S THE 1,Ben Rodes,9 repeats,6B+ (User grade 6B+),Feet follow hands,,
290,S&AMP;L2,Jonny Summers,2 repeats,6C (User grade 6C),Feet follow hands,,
291,Bw2,Jonny Summers,2 repeats,6C+,Feet follow hands,KkKkhkk,
292,BRIGHT LIGHTS,Jonny Summers,27 repeats,6C (User grade 6C),Feet follow hands,,
293,THE MINISTER'S CAT IS...,Brett Duffield,11 repeats,6B+ (User grade 6B+),Feet follow hands,,
